flight_number;date_utc;rocket_name;rocket;launchpad;cores;success;payload_mass_kg;landing_success
6;2010-06-04 18:45:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('core', '5e9e289ef359185f2b3b2628');True;0.0;
6;2010-06-04 18:45:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('flight', 1);True;0.0;
6;2010-06-04 18:45:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('gridfins', False);True;0.0;
6;2010-06-04 18:45:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('landing_attempt', False);True;0.0;
6;2010-06-04 18:45:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('landing_success', None);True;0.0;
6;2010-06-04 18:45:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('landing_type', None);True;0.0;
6;2010-06-04 18:45:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('landpad', None);True;0.0;
6;2010-06-04 18:45:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('legs', False);True;0.0;
6;2010-06-04 18:45:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('reused', False);True;0.0;
7;2010-12-08 15:43:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('core', '5e9e289ef35918187c3b2629');True;0.0;
7;2010-12-08 15:43:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('flight', 1);True;0.0;
7;2010-12-08 15:43:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('gridfins', False);True;0.0;
7;2010-12-08 15:43:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('landing_attempt', False);True;0.0;
7;2010-12-08 15:43:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('landing_success', None);True;0.0;
7;2010-12-08 15:43:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('landing_type', None);True;0.0;
7;2010-12-08 15:43:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('landpad', None);True;0.0;
7;2010-12-08 15:43:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('legs', False);True;0.0;
7;2010-12-08 15:43:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('reused', False);True;0.0;
8;2012-05-22 07:44:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('core', '5e9e289ef35918f39c3b262a');True;525.0;
8;2012-05-22 07:44:00+00:00;Falcon 9;5e9d0d95eda69973a809d1ec;5e9e4501f509094ba4566f84;('flight', 1);True;525.0;
