flight_number,date_utc,rocket,payload_mass_kg,launchpad,landing_success
11,2013-09-29T16:00:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,0.0
14,2014-04-18T19:25:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
15,2014-07-14T15:15:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
18,2014-09-21T05:52:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,0.0
19,2015-01-10T09:47:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,0.0
20,2015-02-11T23:03:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
22,2015-04-14T20:10:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,0.0
25,2015-12-22T01:29:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
26,2016-01-17T15:42:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,0.0
27,2016-03-04T23:35:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,0.0
28,2016-04-08T20:43:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
29,2016-05-06T05:21:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
30,2016-05-27T21:39:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
31,2016-06-15T14:29:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,0.0
32,2016-07-18T04:45:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
33,2016-08-14T05:26:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
35,2017-01-14T17:54:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
36,2017-02-19T14:39:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
38,2017-03-30T22:27:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
39,2017-05-01T11:15:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
41,2017-06-03T21:07:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
42,2017-06-23T19:10:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
43,2017-06-25T20:25:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
